timestamp,x,y,z,r
2024/06/05-18:53:37.699202,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.789909,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.824955,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:37.916404,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.061001,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.091082,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.136995,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.234342,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.313433,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.352727,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.431622,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.524921,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.603432,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.698038,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.846807,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.874464,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:38.974327,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.059557,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.093400,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.176956,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.261950,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.298628,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.380846,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.496253,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.605071,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.648907,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.735795,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.815032,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.848965,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:39.929900,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:40.298466,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:40.392451,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:40.468419,400.32,-96.77,272.65,-4.01
